0,0
20,0.0821
20.8512,0.0876
21.7386,0.0943
22.6638,0.1023
23.6283,0.1117
24.6339,0.1225
25.6824,0.135
26.7754,0.1491
27.9149,0.165
29.103,0.1826
30.3416,0.2021
31.6329,0.2235
32.9792,0.2468
34.3827,0.2719
35.846,0.299
37.3716,0.3278
38.9621,0.3583
40.6204,0.3903
42.3491,0.4236
44.1515,0.4581
46.0305,0.4936
47.9896,0.53
50.032,0.5669
52.1613,0.6041
54.3813,0.6414
56.6957,0.6785
59.1086,0.7152
61.6243,0.751
64.2469,0.7859
66.9813,0.8198
69.8319,0.8527
72.8039,0.8845
75.9024,0.9151
79.1328,0.944
82.5006,0.9709
86.0118,0.9962
89.6724,1.0208
93.4888,1.0457
97.4677,1.0698
101.616,1.0918
105.941,1.1111
110.449,1.13
115.15,1.1503
120.051,1.1701
125.16,1.1871
130.487,1.2024
136.04,1.2175
141.83,1.2316
147.866,1.2441
154.159,1.2569
160.72,1.2696
167.56,1.2811
174.691,1.2919
182.126,1.3015
189.878,1.3103
197.958,1.3203
206.384,1.3295
215.167,1.3373
224.325,1.3451
233.872,1.3531
243.825,1.3606
254.202,1.3672
265.021,1.3738
276.3,1.3805
288.059,1.3868
300.319,1.3926
313.1,1.3983
326.425,1.4039
340.318,1.4093
354.801,1.4144
369.902,1.4192
385.644,1.424
402.057,1.4289
419.169,1.4338
437.008,1.4382
455.607,1.4427
474.997,1.4474
495.213,1.4516
516.289,1.4557
538.262,1.46
561.17,1.4642
585.053,1.4682
609.952,1.4721
635.912,1.4759
662.976,1.4798
691.191,1.4839
720.608,1.4881
751.277,1.4922
783.251,1.4959
816.585,1.4997
851.339,1.5034
887.571,1.507
925.346,1.511
964.728,1.5152
1005.79,1.5191
1048.59,1.523
1093.22,1.527
1139.75,1.5309
1188.25,1.5349
1238.82,1.5389
1291.55,1.5429
1346.52,1.5469
1403.82,1.5509
1463.57,1.5551
1525.86,1.5592
1590.8,1.5635
1658.5,1.5678
1729.08,1.5721
1802.67,1.5765
1879.39,1.581
1959.38,1.5855
2042.77,1.59
2129.71,1.5945
2220.35,1.5991
2314.84,1.6038
2413.36,1.6085
2516.07,1.6132
2623.16,1.6181
2734.8,1.6231
2851.19,1.6282
2972.53,1.6334
3099.04,1.6387
3230.93,1.6441
3368.44,1.6496
3511.8,1.655
3661.26,1.6605
3817.08,1.666
3979.53,1.6717
4148.9,1.6776
4325.47,1.6838
4509.56,1.6899
4701.49,1.696
4901.58,1.702
5110.19,1.7081
5327.68,1.7145
5554.42,1.721
5790.81,1.7277
6037.26,1.7345
6294.21,1.7414
6562.08,1.7483
6841.36,1.7552
7132.53,1.7623
7436.08,1.7694
7752.56,1.7766
8082.5,1.7838
8426.49,1.7911
8785.11,1.7984
9159,1.8058
9548.8,1.8133
9955.2,1.8209
10378.9,1.8285
10820.6,1.836
11281.1,1.8436
11761.2,1.8512
12261.8,1.8588
12783.6,1.8664
13327.7,1.874
13894.9,1.8816
14486.3,1.889
15102.8,1.8964
15745.6,1.9035
16415.7,1.9105
17114.3,1.9173
17842.7,1.9238
18602.1,1.9302
19393.8,1.9365
20219.2,1.9427
21079.7,1.9493
21976.8,1.9558
22912.2,1.962
23887.3,1.9681
24903.9,1.974
25963.8,1.9798
27068.8,1.9855
28220.8,1.9911
29421.9,1.9965
30674.1,2.0019
31979.5,2.0072
33340.6,2.0124
34759.5,2.0175
36238.9,2.0226
37781.2,2.0276
39389.1,2.0325
41065.5,2.0375
42813.2,2.0424
44635.3,2.0473
46535,2.0522
48515.5,2.057
50580.3,2.0619
52732.9,2.0668
54977.2,2.0718
57317,2.0767
59756.4,2.0818
62299.6,2.0868
64951,2.0919
67715.3,2.0971
70597.2,2.1024
73601.8,2.1077
76734.2,2.1132
80000,2.1187
