0,0
10,0.04
20,0.075
30,0.161
40,0.33
50,0.522
60,0.704
70,0.842
80,0.944
100,1.076
125,1.176
150,1.237
175,1.272
200,1.298
250,1.336
300,1.359
400,1.394
500,1.418
800,1.464
1000,1.483
1500,1.521
2000,1.552
2500,1.575
3000,1.596
4000,1.637
5000,1.677
8000,1.775
10000,1.819
15000,1.888
20000,1.931
30000,1.979
50000,2.035
80000,2.081
